"id","report","language","term","definition","did","pid","is_translation_available","is_translation_fetched","fetch_status","source_endpoint","downloaded_at"
"1","AR6","ru",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"1","AR6","zh",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","SRCCL","en","Climate","Climate in a narrow sense is usually defined as the average weather, or more rigorously, as the statistical description in terms of the mean and variability of relevant quantities over a period of time ranging from months to thousands or millions of years. The classical period for averaging these variables is 30 years, as defined by the World Meteorological Organization. The relevant quantities are most often surface variables such as temperature, precipitation and wind. Climate in a wider sense is the state, including a statistical description, of the climate system.",NA,NA,"TRUE","TRUE","ok","ajax.searchbyphraseandreport.php","2026-03-31"
"101","SRCCL","ar","المناخ","المناخ بمعناه الضيق يُ ّ عرف عادةً بأنه متوسط حالات الطقس، أو على
نحو أدق بأنه الوصف الإحصائي لمتوسط وتقلبية مقاييس المتغيرات ذات الصلة
خلال فترة زمنية تتراوح من أشهر إلى آلاف أو ملايين السنين. والفترة المتعارف
عليها لتحديد متوسط هذه المتغيرات هي 30عاماً، كما حددتها المنظمة العالمية
للأرصاد الجوية ( .)WMOوهذه المقاييس هي، في أغلب الأحيان، متغيرات
سطحية مثل درجات الحرارة والهطول والرياح. والمناخ، بمعناه الأوسع، هو حالة
النظام المناخي، بما يشمل وصفاً إحصائياً للنظام المناخي.","1640","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","SRCCL","es","Clima","El clima se suele definir en sentido restringido como el estado
promedio del tiempo y, más rigurosamente, como una descripción estadística del tiempo atmosférico en términos de los valores medios y de la variabilidad de las magnitudes correspondientes durante períodos que pueden abarcar desde meses hasta miles o millones de años. El período de promedio habitual es de 30 años, según la definición de la Organización Meteorológica Mundial. Las magnitudes son casi siempre variables de superficie (por ejemplo, temperatura, precipitación o viento). En un sentido más amplio, el clima es el estado del sistema climático en términos tanto clásicos como estadísticos.","1640","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","SRCCL","fr",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","SRCCL","ru","Климат","Климат, в узком смысле этого слова, обычно определяется как средний режим погоды или, в более строгом смысле, как статистическое описание средней величины и изменчивости соответствующих количественных параметров в течение периода времени, которое может варьировать от нескольких месяцев до тысяч или миллионов лет. Согласно определению Всемирной метеорологической организации классическим периодом для усреднения этих переменных является период в 30 лет. Соответствующими количественными параметрами чаще всего являются такие приземные переменные, как температура, осадки и ветер. В более широком смысле климат представляет собой состояние климатической системы, включая ее статистическое описание.","1640","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","SRCCL","zh","气候","气候在狭义上通常被定义为平均天气状況，或更严格而言，定义为某一时期内对相关量的均值和变率做出的统计描述，而这个时期的长度可以从几个月至几千年乃至几百万年不等。根据世界气象组织的定义，各变量均值的计算一般按照30年周期。这些相关量通常指地表变量，如温度、降水和风。气候的广义定义是气候系统的状态，包括统计上的描述。","1640","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","SROCC","en","Climate","in a narrow sense is usually defined as the average weather -or more rigorously, as the statistical description in terms of the mean and variability of relevant quantities- over a period of time ranging from months to thousands or millions of years. The classical period for averaging these variables is 30 years, as defined by the World Meteorological Organization (WMO). The relevant quantities are most often surface variables such as temperature, precipitation and wind. Climate in a wider sense is the state, including a statistical description, of the climate system.",NA,NA,"TRUE","TRUE","ok","ajax.searchbyphraseandreport.php","2026-03-31"
"101","SROCC","ar",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","SROCC","es",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","SROCC","fr",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","SROCC","ru",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","SROCC","zh",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","SR15","en","Climate","Climate in a narrow sense is usually defined as the average weather, or more rigorously, as the statistical description in terms of the mean and variability of relevant quantities over a period of time ranging from months to thousands or millions of years. The classical period for averaging these variables is 30 years, as defined by the World Meteorological Organization. The relevant quantities are most often surface variables such as temperature, precipitation and wind. Climate in a wider sense is the state, including a statistical description, of the climate system.",NA,NA,"TRUE","TRUE","ok","ajax.searchbyphraseandreport.php","2026-03-31"
"101","SR15","ar",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","SR15","es","Clima","El clima se suele definir en sentido restringido como el estado promedio del tiempo y, más rigurosamente, como una descripción estadística del tiempo atmosférico en términos de los valores medios y de la variabilidad de las magnitudes correspondientes durante períodos que pueden abarcar desde meses hasta miles o millones de años. El período de promedio habitual es de 30 años, según la definición de la Organización Meteorológica Mundial. Las magnitudes son casi siempre variables de superficie (p. ej., temperatura, precipitación o viento). En un sentido más amplio, el clima es el estado del sistema climático en términos tanto clásicos como estadísticos.","101","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","SR15","fr","Climat","Au sens étroit du terme, temps (météorologique) moyen ou, plus précisément, description statistique fondée sur les moyennes et la variabilité de grandeurs pertinentes sur des périodes allant de quelques mois à des milliers, voire des millions d’années (la période type définie par l’Organisation météorologique mondiale est de 30 ans). Ces grandeurs sont le plus souvent des variables de surface telles que la température, la hauteur de précipitation et le vent. Dans un sens plus large, le climat désigne l’état du système climatique, incluant sa description statistique.","101","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","SR15","ru","Климат","Климат, в узком смысле этого слова, обычно определяется как средний режим погоды или, в более строгом смысле, как статистическое описание средней величины и изменчивости соответствующих количественных параметров в течение периода времени, которое может варьировать от нескольких месяцев до тысяч или миллионов лет. Согласно определению Всемирной метеорологической oрганизации классическим периодом для усреднения этих переменных является период в 30 лет. Соответствующими количественными параметрами чаще всего являются такие приземные переменные, как температура, осадки и ветер. В более широком смысле климат представляет собой состояние климатической системы, включая ее статистическое описание.","101","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","SR15","zh","气候","气候在狭义上通常被定义为平均天气状況，或更严格而言，定义为某一时期内对相关量的均值和变率作出的统计描述，而这个时期的长度可以从几个月至几千年乃至几百万年不等。根据世界气象组织的定义，各变量均值的计算一般按照30年周期。这些相关量通常指地表变量，如温度、降水和风。气候的广义定义是气候系统的状态，包括统计上的描述。","101","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-WG3","en","Climate","Climate in a narrow sense is usually defined as the average weather, or more rigorously, as the statistical description in terms of the mean and variability of relevant quantities over a period of time ranging from months to thousands or millions of years. The classical period for averaging these variables is 30 years, as defined by the World Meteorological Organization. The relevant quantities are most often surface variables such as temperature, precipitation and wind. Climate in a wider sense is the state, including a statistical description, of the climate system.",NA,NA,"TRUE","TRUE","ok","ajax.searchbyphraseandreport.php","2026-03-31"
"101","AR5-WG3","ar",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","AR5-WG3","es","Clima","El clima se suele definir en sentido estricto como el estado promedio del tiempo y, más rigurosamente, como una descripción estadística del tiempo atmosférico en términos de los valores medios y de la variabilidad de las magnitudes correspondientes durante períodos que pueden abarcar desde meses hasta millares o millones de años. El período de promedio habitual es de 30 años, según la definición de la Organización Meteorológica Mundial. Las magnitudes son casi siempre variables de superficie (p. ej., temperatura, precipitación o viento). En un sentido más amplio el clima es el estado, incluyendo una descripción estadística, del sistema climático.","4174","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-WG3","fr","Climat","Au sens étroit du terme, le climat désigne en général le temps moyen ou, plus précisément, se réfère à une description statistique fondée sur les moyennes et la variabilité de grandeurs pertinentes sur des périodes variant de quelques mois à des milliers, voire à des millions d’années. La période type, définie par l’Organisation météorologique mondiale, est de 30 ans. Ces grandeurs sont le plus souvent des variables de surface telles que la température, la hauteur de précipitation et le vent. Dans un sens plus large, le climat désigne l’état du système climatique, y compris sa description statistique.","4174","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-WG3","ru","Климат","Климат в узком смысле этого слова обычно определяется как средний режим погоды или в более строгом смысле как статистическое описание средней величины и изменчивости соответствующих количественных параметров в течение периода времени, который может варьировать от нескольких месяцев до тысяч или миллионов лет. Согласно определению Всемирной Метеорологической Организации классическим периодом для усреднения этих переменных является период в 30 лет. Соответствующими количественными параметрами чаще всего являются такие приземные переменные, как температура, осадки и ветер. В более широком смысле климат представляет собой состояние климатической системы, включая ее статистическое описание.","4174","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-WG3","zh","气候","狭义上的气候通常被定义为平均天气状态，或在更严格意义上，则被定义为对某个时期(从几个月到几千年乃至几百万年不等)相关变量的均值和变率进行统计描述。根据世界气象组织的规定，求出这些变量均值的时间长度一般为30年。相关变量通常指地表变量，如温度、降水和风。广义上的气候是指气候系统的状态，包括其统计学意义上的描述。","4174","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-SYR","en","Climate","Climate in a narrow sense is usually defined as the average weather, or more rigorously, as the statistical description in terms of the mean and variability of relevant quantities over a period of time ranging from months to thousands or millions of years. The classical period for averaging these variables is 30 years, as defined by the World Meteorological Organization. The relevant quantities are most often surface variables such as temperature, precipitation and wind. Climate in a wider sense is the state, including a statistical description, of the climate system.",NA,NA,"TRUE","TRUE","ok","ajax.searchbyphraseandreport.php","2026-03-31"
"101","AR5-SYR","ar","المناخ","يعَّرف المناخ بمعناه الضيق عادًة بأنه متوسط الطقس، أو بتعبير أدق، بأنه الوصف الإحصائي لمتوسط وتقلبية الكميات ذات الصلة خلال فترة زمنية تتراوح من أشهر إلى آلاف أو ملايين السنين. والفترة التقليدية لتحديد متوسط ً هذه المًتغيرات حسبما حددتها المنظمة العالمية للأرصاد الجوية (WMO) هي 30 عاما. وغالبا ما تكون هذه الكميات متغيرات سطحية، مثل درجة الحرارة، وكمية اًلأمطار، ًوالرياح. والمناخ، بمعناه الأعم،والثالث}","4794","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-SYR","es","Clima","El clima se suele definir en sentido restringido como el estado promedio del tiempo y, más rigurosamente, como una descripción estadística del tiempo atmosférico en términos de los valores medios y de la variabilidad de las magnitudes correspondientes durante períodos que pueden abarcar desde meses hasta miles o millones de años. El período de promedio habitual es de 30 años, de acuerdo con la Organización Meteorológica Mundial. Las magnitudes son casi siempre variables de superficie (p. ej., temperatura, precipitación o viento). En un sentido más amplio, el clima es el estado, incluida una descripción estadística, del sistema climático. {GTI, II, III}","4794","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-SYR","fr","Climat","Au sens étroit du terme, le climat désigne en général le temps moyen ou, plus précisément, se réfère à une description statistique fondée sur les moyennes et la variabilité de grandeurs pertinentes sur des périodes variant de quelques mois à des milliers, voire à des millions d’années. La période type, définie par l’Organisation météorologique mondiale, est de 30 ans. Ces grandeurs sont le plus souvent des variables de surface telles que la température, la hauteur de précipitation et le vent. Dans un sens plus large, le climat désigne l’état du système climatique, y compris sa description statistique. {GT I, II, III}","4794","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-SYR","ru","Климат","Климат в узком смысле этого слова обычно определяется как средний режим погоды или в более строгом смысле как статистическое описание средней величины и изменчивости соответствующих количественных параметров в течение периода времени, который может варьировать от нескольких месяцев до тысяч или миллионов лет. Согласно определению Всемирной Метеорологической Организации классическим периодом для усреднения этих переменных является период в 30 лет. Соответствующими количественными параметрами чаще всего являются такие приземные переменные, как температура, осадки и ветер. В более широком смысле климат представляет собой состояние климатической системы, включая ее статистическое описание. {РГ I, II, III}","4794","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-SYR","zh","气候","狭义上的气候通常被定义为平均天气状态，或在更严格意义上，则被定义为对某个时期(从几个月到几千年乃至几百万年不等)相关变量的均值和变率进行统计描述。根据世界气象组织的规定，求出这些变量均值的时间长度一般为30年。相关变量通常指地表变量，如温度、降水和风。广义上的气候是指气候系统的状态，包括其统计学意义上的描述。{WGI, II, III}","4794","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-WG2","en","Climate","Climate in a narrow sense is usually defined as the average weather, or more rigorously, as the statistical description in terms of the mean and variability of relevant quantities over a period of time ranging from months to thousands or millions of years. The classical period for averaging these variables is 30 years, as defined by the World Meteorological Organization. The relevant quantities are most often surface variables such as temperature, precipitation, and wind. Climate in a wider sense is the state, including a statistical description, of the climate system.",NA,NA,"TRUE","TRUE","ok","ajax.searchbyphraseandreport.php","2026-03-31"
"101","AR5-WG2","ar",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","AR5-WG2","es","Clima","El clima se suele definir en sentido restringido como el estado promedio del tiempo y, más rigurosamente, como una descripción estadística del tiempo atmosférico en términos de los valores medios y de la variabilidad de las magnitudes correspondientes durante períodos que pueden abarcar desde meses hasta millares o millones de años. El período de promedio habitual es de 30 años, según la definición de la Organización Meteorológica Mundial. Las magnitudes son casi siempre variables de superficie (p. ej., temperatura, precipitación o viento). En un sentido más amplio, el clima es el estado del sistema climático en términos tanto clásicos como estadísticos.","5272","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-WG2","fr","Climat","Au sens étroit du terme, le climat désigne en général le temps moyen ou, plus précisément, se réfère à une description statistique fondée sur les moyennes et la variabilité de grandeurs pertinentes sur des périodes variant de quelques mois à des milliers, voire à des millions d’années (la période type, définie par l’Organisation météorologique mondiale, est de 30 ans). Ces grandeurs sont le plus souvent des variables de surface telles que la température, la hauteur de précipitation et le vent. Dans un sens plus large, le climat désigne l’état du système climatique, y compris sa description statistique.","5272","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-WG2","ru","Климат","Климат в узком смысле этого слова обычно определяется как средний режим погоды или в более строгом смысле как статистическое описание средней величины и изменчивости соответствующих количественных параметров в течение периода времени, который может варьировать от нескольких месяцев до тысяч или миллионов лет. Согласно определению Всемирной Метеорологической Организации классическим периодом для усреднения этих переменных является период в 30 лет. Соответствующими количественными параметрами чаще всего являются такие приземные переменные, как температура, осадки и ветер. В более широком смысле климат представляет собой состояние климатической системы, включая ее статистическое описание.","5272","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-WG2","zh","气候","气候的狭义定义通常被定义为平均天气状況，或更严格而言， 定义为某个一时期内对相关量的均值和变率作出的统计描述，而这个时期的长度可以从几个月至几千年乃至几百万年不等。根据世界气象组织的定义，各变量均值的计算一般按照30年周期。这些相关量通常指地表变量，如温度、降水和风。 气候的广义定义是气候系统的状态，包括统计上的描述。","5272","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-WG1","en","Climate","Climate in a narrow sense is usually defined as the average weather, or more rigorously, as the statistical description in terms of the mean and variability of relevant quantities over a period of time ranging from months to thousands or millions of years. The classical period for averaging these variables is 30 years, as defined by the World Meteorological Organization. The relevant quantities are most often surface variables such as temperature, precipitation and wind. Climate in a wider sense is the state, including a statistical description, of the climate system.",NA,NA,"TRUE","TRUE","ok","ajax.searchbyphraseandreport.php","2026-03-31"
"101","AR5-WG1","ar","المناخ","يعّرفالمناخبمعناهالضيقعادةبأنهمتوسطالطقس،أو
بتعبير أدق، بأنه الوصف الإحصائي لمتوسط وتقلبية الكميات ذات الصلة خلال فترة زمنية تتراوح بين أشهر وآلاف أو ملايين السنين. والفترة التقليدية لتحديد متوسطهذهالمتغيراتهي30عامًا،حسبماحددتهاالمنظمةالعالميةللأرصاد الجوية (WMO). وغالبًا ما تكون هذه الكميات متغيرات سطحية، مثل درجات الحرارة، وكميات الأمطار، والرياح. والمناخ، بمعناه الأعم، هو تعبير عن حالة
النظام المناخي تشمل وصفًا إحصائيًا.","3422","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-WG1","es","Clima","El clima se suele definir en sentido restringido como el estado promedio del tiempo y, más rigurosamente, como una descripción estadística del tiempo atmosférico en términos de los valores medios y de la variabilidad de las magnitudes correspondientes durante períodos que pueden abarcar desde meses hasta millares o millones de años. El período de promedio habitual es de 30 años, según la definición de la Organización Meteorológica Mundial. Las magnitudes son casi siempre variables de superficie (por ejemplo, temperatura, precipitación o viento). En un sentido más amplio, el clima es el estado del sistema climático en términos tanto clásicos como estadísticos.","3422","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-WG1","fr","Climat","Au sens étroit du terme, le climat désigne en général le temps moyen ou, plus précisément, se réfère à une description statistique fondée sur les moyennes et la variabilité de grandeurs pertinentes sur des périodes variant de quelques mois à des milliers, voire à des millions d’années (la période type, définie par l’Organisation météorologique mondiale, est de 30 ans). Ces grandeurs sont le plus souvent des variables de surface telles que la température, la hauteur de précipitation et le vent. Dans un sens plus large, le climat désigne l’état du système climatique, y compris sa description statistique.","3422","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-WG1","ru","Климат","Климат в узком смысле этого слова обычно определяется как средний режим погоды или в более строгом смысле как статистическое описание средней величины и изменчивости соответствующих количественных параметров в течение периода времени, который может варьироваться от нескольких месяцев до тысяч или миллионов лет. Согласно определению Всемирной Метеорологической Организации классическим периодом для усреднения этих переменных является период в 30 лет. Соответствующими количественными параметрами чаще всего являются такие приземные переменные, как температура, осадки и ветер. В более широком смысле климат представляет собой состояние климатической системы, включая ее статистическое описание.","3422","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","AR5-WG1","zh","气候","狭义而言，气候通常被定义为平均天气状态，或更 严格而言，被定义为某个一时期内对相关量的均值和变率 作出的统计描述，而这个时期的长度从几个月至几千年乃 至几百万年不等。根据世界气象组织的定义，各变量均值 的传统时期为30年。这些相关量通常指表面变量，如温 度、降水和风。更广义而言，气候是气候系统的状态，包 括统计上的描述。","3422","101","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"101","SREX","en","Climate","Climate in a narrow sense is usually defined as the average weather, or more rigorously, as the statistical description in terms of the mean and variability of relevant quantities over a period of time ranging from months to thousands or millions of years. The classical period for averaging these variables is 30 years, as defined by the World Meteorological Organization. The relevant quantities are most often surface variables such as temperature, precipitation, and wind. Climate in a wider sense is the state, including a statistical description, of the climate system. In various chapters in this report different averaging periods, such as a period of 20 years, are also used.",NA,NA,"TRUE","TRUE","ok","ajax.searchbyphraseandreport.php","2026-03-31"
"101","SREX","ar",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","SREX","es",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","SREX","fr",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","SREX","ru",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","SREX","zh",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","AR6","en","Climate","In a narrow sense, climate is usually defined as the average weather, or more rigorously as the statistical description in terms of the mean and variability of relevant quantities over a period of time ranging from months to thousands or millions of years. The classical period for averaging these variables is 30 years, as defined by the World Meteorological Organization (WMO). The relevant quantities are most often surface variables such as temperature, precipitation and wind. Climate in a wider sense is the state, including a statistical description, of the climate system.",NA,NA,"TRUE","TRUE","ok","ajax.searchbyphraseandreport.php","2026-03-31"
"101","AR6","ar",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","AR6","es",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","AR6","fr",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","AR6","ru",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"101","AR6","zh",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"105","SR15","en","Climate change commitment","Climate change commitment is defined as the unavoidable future climate change resulting from inertia in the geophysical and socio-economic systems. Different types of climate change commitment are discussed in the literature (see subterms). Climate change commitment is usually quantified in terms of the further change in temperature, but it includes other future changes, for example in the hydrological cycle, in extreme weather events, in extreme climate events, and in sea level.",NA,NA,"TRUE","TRUE","ok","ajax.searchbyphraseandreport.php","2026-03-31"
"105","SR15","ar",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
