"source","concept_id","report_or_assessment","language","term","definition","alt_labels","is_available","is_fetched","fetch_status","source_endpoint","downloaded_at"
"IPBES","ipbes:21526:16933","Americas assessment","en","acidification","Ongoing decrease in pH away from neutral value of 7. Often used in reference to oceans, freshwater or soils, as a result of uptake of carbon dioxide from the atmosphere.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21526:16933","Europe and Central Asia assessment","en","acidification","Ongoing decrease in pH away from neutral value of 7. Often used in reference to oceans, freshwater or soils, as a result of uptake of carbon dioxide from the atmosphere.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21526:16933","Global assessment (1st work programme)","en","acidification","Ongoing decrease in pH away from neutral value of 7. Often used in reference to oceans, freshwater or soils, as a result of uptake of carbon dioxide from the atmosphere.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21526:16933","Land degradation and restoration assessment","en","acidification","Ongoing decrease in pH away from neutral value of 7. Often used in reference to oceans, freshwater or soils, as a result of uptake of carbon dioxide from the atmosphere.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21526:16933","Sustainable use assessment","en","acidification","Ongoing decrease in pH away from neutral value of 7. Often used in reference to oceans, freshwater or soils, as a result of uptake of carbon dioxide from the atmosphere.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21526:40629","Asia-Pacific assessment","en","acidification","Ongoing decrease in pH away from neutral value of 7. Often used in reference to oceans, freshwater or soils, in response to uptake of carbon dioxide from the atmosphere.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21527:16226","Americas assessment","en","adaptation","Adjustment in natural or human systems to a new or changing environment, whether through genetic or behavioural change.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21527:16226","Asia-Pacific assessment","en","adaptation","Adjustment in natural or human systems to a new or changing environment, whether through genetic or behavioural change.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21527:16226","Europe and Central Asia assessment","en","adaptation","Adjustment in natural or human systems to a new or changing environment, whether through genetic or behavioural change.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21527:40635","Sustainable use assessment","en","adaptation","Adjustment in natural or human systems in response to actual or expected stimuli or their effects, which moderates harm or exploits beneficial opportunities.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21528:16227","Land degradation and restoration assessment","en","adaptive capacity","The general ability of institutions, systems, and individuals to adjust to potential damage, to take advantage of opportunities, or to cope with the consequences.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21528:40637","Sustainable use assessment","en","adaptive capacity","The resilience of an ecological, social or social-ecological system to unexpected or unpredictable shocks.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21529:16228","Americas assessment","en","adaptive management","A systematic process for continually improving management policies and practices by learning from the outcomes of previously employed policies and practices. In active adaptive management, management is treated as a deliberate experiment for purposes of learning.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21529:16228","Asia-Pacific assessment","en","adaptive management","A systematic process for continually improving management policies and practices by learning from the outcomes of previously employed policies and practices. In active adaptive management, management is treated as a deliberate experiment for purposes of learning.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21529:16228","Europe and Central Asia assessment","en","adaptive management","A systematic process for continually improving management policies and practices by learning from the outcomes of previously employed policies and practices. In active adaptive management, management is treated as a deliberate experiment for purposes of learning.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21529:40639","Global assessment (1st work programme)","en","adaptive management","A formal procedure for learning by doing, that is particularly amenable to sequential decision problems.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21529:40639","Scenarios and models assessment","en","adaptive management","A formal procedure for learning by doing, that is particularly amenable to sequential decision problems.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21529:40640","Land degradation and restoration assessment","en","adaptive management","A systematic process for continually improving management policies and practices by learning from the outcomes of previously employed policies and practices.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21529:69548","Invasive alien species assessment","en","adaptive management","a philosophy that accepts that management must proceed even without complete information. It views management not only as a way to achieve objectives, but also as a process for probing to learn more about the resource or system being managed. Learning is an inherent objective of adaptive management. Adaptive management is a process where policies and activities can adapt to future conditions to improve management success",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21529:87920","Sustainable use assessment","en","adaptive management","Adaptive management is defined as a systematic process for continually improving management policies and practices by learning from the outcomes of previously employed policies and practices and by taking in account the intrinsic changes in the system being managed over time. In active adaptive management, management is treated as a deliberate experiment for purposes of learning by doing.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21530:16229","Africa assessment","en","adoption","Adoption of an IPBES report is a process of section-by-section (and not line-by-line) endorsement, as described in section 3.9, at a session of the Plenary.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21530:16229","Asia-Pacific assessment","en","adoption","Adoption of an IPBES report is a process of section-by-section (and not line-by-line) endorsement, as described in section 3.9, at a session of the Plenary.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21531:16934","Americas assessment","en","afforestation","Converting grasslands or shrublands into tree plantations. Afforestation is sometimes suggested as a tool to sequester carbon, but it can have negative impacts on biodiversity and ecosystem function.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21531:87921","Europe and Central Asia assessment","en","afforestation","Converting grasslands or shrublands into tree plantations. Afforestation is sometimes suggested as a tool to sequester carbon, but it can have negative impacts on biodiversity and ecosystem function, for example by reducing runoff and so decreasing water production.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21531:87921","Land degradation and restoration assessment","en","afforestation","Converting grasslands or shrublands into tree plantations. Afforestation is sometimes suggested as a tool to sequester carbon, but it can have negative impacts on biodiversity and ecosystem function, for example by reducing runoff and so decreasing water production.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21531:87922","Nexus assessment","en","afforestation","The establishment of a forest, stand or tree crop on an area not previously forested, or on land from which forest cover has very long been absent.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21531:88457","Global assessment (1st work programme)","en","afforestation","Planting of new forests on lands that historically have not contained forests.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21532:16230","Americas assessment","en","agenda setting","One of four phases in the policy cycle. Agenda setting motivates and sets the direction for policy design and implementation.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21532:16230","Europe and Central Asia assessment","en","agenda setting","One of four phases in the policy cycle. Agenda setting motivates and sets the direction for policy design and implementation.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21532:16230","Land degradation and restoration assessment","en","agenda setting","One of four phases in the policy cycle. Agenda setting motivates and sets the direction for policy design and implementation.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21532:16230","Scenarios and models assessment","en","agenda setting","One of four phases in the policy cycle. Agenda setting motivates and sets the direction for policy design and implementation.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21533:16231","Asia-Pacific assessment","en","agricultural extension","A service whereby knowledge about agricultural practices, technologies, tools, and innovations is conveyed to farmers and rural people.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21533:16231","Pollination assessment","en","agricultural extension","A service whereby knowledge about agricultural practices, technologies, tools, and innovations is conveyed to farmers and rural people.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21534:16232","Americas assessment","en","agricultural intensification","An increase in agricultural production per unit of inputs (which may be labour, land, time, fertilizer, seed, feed or cash).",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21534:16232","Asia-Pacific assessment","en","agricultural intensification","An increase in agricultural production per unit of inputs (which may be labour, land, time, fertilizer, seed, feed or cash).",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21534:16232","Europe and Central Asia assessment","en","agricultural intensification","An increase in agricultural production per unit of inputs (which may be labour, land, time, fertilizer, seed, feed or cash).",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21534:16232","Global assessment (1st work programme)","en","agricultural intensification","An increase in agricultural production per unit of inputs (which may be labour, land, time, fertilizer, seed, feed or cash).",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21534:16232","Land degradation and restoration assessment","en","agricultural intensification","An increase in agricultural production per unit of inputs (which may be labour, land, time, fertilizer, seed, feed or cash).",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21534:40648","Pollination assessment","en","agricultural intensification","The process by which land becomes increasingly used for agricultural production. Agricultural intensification can apply to high-input (machinery, fuel, chemicals) farming as well as to lower- input traditional to organic practices.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21534:40649","Sustainable use assessment","en","agricultural intensification","The process of increasing the use of capital, labor, and inputs (e.g. fertilizers, pesticides, machinery) relative to land area, to increase agriculture productivity.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21535:16233","Europe and Central Asia assessment","en","agri-environmental scheme","Schemes that provide funding to farmers and land managers to farm in ways that support biodiversity, enhance the landscape, and improve the quality of water, air and soil (see also agroecology as integral to such schemes).",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21535:16233","Pollination assessment","en","agri-environmental scheme","Schemes that provide funding to farmers and land managers to farm in ways that support biodiversity, enhance the landscape, and improve the quality of water, air and soil (see also agroecology as integral to such schemes).",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21536:16869","Americas assessment","en","agrobiodiversity","Agricultural biodiversity is the biological diversity that sustains key functions, structures and processes of agricultural ecosystems. It includes the variety and variability of animals, plants and micro-organisms, at the genetic, species and ecosystem levels.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21536:40654","Land degradation and restoration assessment","en","agrobiodiversity","A broad term that includes all components of biological diversity of relevance to food and agriculture, and all components of biological diversity that constitute the agricultural ecosystems, also named agro-ecosystems: the variety and variability of animals, plants and micro-organisms, at the genetic, species and ecosystem levels, which are necessary to sustain key functions of the agro-ecosystem, its structure and processes (CBD COP decision V/5, appendix). Agricultural biodiversity is the outcome of the interactions among genetic resources, the environment and the management systems and practices used by farmers, in some cases over millennia.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21536:40655","Europe and Central Asia assessment","en","agrobiodiversity","Agrobiodiversity or agricultural biodiversity is the biological diversity that sustains key functions, structures and processes of agricultural ecosystems. It includes the variety and variability of animals, plants and micro-organisms, at the genetic, species and ecosystem levels.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21536:40655","Global assessment (1st work programme)","en","agrobiodiversity","Agrobiodiversity or agricultural biodiversity is the biological diversity that sustains key functions, structures and processes of agricultural ecosystems. It includes the variety and variability of animals, plants and micro-organisms, at the genetic, species and ecosystem levels.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21536:40656","Asia-Pacific assessment","en","agrobiodiversity","The result of natural selection processes and the careful selection and inventive developments of farmers, herders and fishers over millennia. A vital sub-set of biodiversity.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21537:16234","Africa assessment","en","agro-ecological zone","Geographic areas with homogeneous sets of climatic parameters and natural resource characteristics, such as rainfall, solar radiation, soil types and soil qualities, which correspond to a level of agricultural potential.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21537:16234","Americas assessment","en","agro-ecological zone","Geographic areas with homogeneous sets of climatic parameters and natural resource characteristics, such as rainfall, solar radiation, soil types and soil qualities, which correspond to a level of agricultural potential.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21537:16234","Global assessment (1st work programme)","en","agro-ecological zone","Geographic areas with homogeneous sets of climatic parameters and natural resource characteristics, such as rainfall, solar radiation, soil types and soil qualities, which correspond to a level of agricultural potential.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21537:16234","Pollination assessment","en","agro-ecological zone","Geographic areas with homogeneous sets of climatic parameters and natural resource characteristics, such as rainfall, solar radiation, soil types and soil qualities, which correspond to a level of agricultural potential.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21538:16235","Americas assessment","en","agroecology","The science and practice of applying ecological concepts, principles and knowledge (i.e. the interactions of, and explanations for, the diversity, abundance and activities of organisms) to the study, design and management of sustainable agroecosystems. It includes the roles of human beings as a central organism in agroecology by way of social and economic processes in farming systems. Agroecology examines the roles and interactions among all relevant biophysical, technical and socioeconomic components of farming systems and their surrounding landscapes.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21538:40661","Land degradation and restoration assessment","en","agroecology","The science and practice of applying ecological concepts, principles and knowledge (i.e. the interactions of, and explanations for, the diversity, abundance and activities of organisms) to the study, design and management of sustainable agroecosystems. It includes the roles of human beings as a central organism by way of social and economic processes in farming systems. Agroecology examines the roles and interactions among all relevant biophysical, technical and socioeconomic components of farming systems and their surrounding landscapes.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21538:87926","Transformative change assessment","en","agroecology","The science and practice of applying ecological concepts, principles and knowledge (i.e., the interactions of and explanations for, the diversity, abundance and activities of organisms) to the study, design and management of sustainable agroecosystems. It includes the roles of human beings as a central organism by way of social and economic processes in farming systems. Agroecology examines the roles and interactions among all relevant biophysical, technical and socioeconomic components of farming systems and their surrounding landscapes (IPBES, 2019a). In this assessment agroecology bridges local traditional and global scientific knowledge through a dialogue of wisdoms, fostering innovation and adaptation of technologies that rely on biodiversity.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21539:16870","Americas assessment","en","agroecosystem","An ecosystem, dominated by agriculture, containing assets and functions such as biodiversity, ecological succession and food webs. An agroecosystem is not restricted to the immediate site of agricultural activity (e.g. the farm), but rather includes the region that is impacted by this activity, usually by changes to the complexity of species assemblages and energy flows, as well as to the net nutrient balance.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21539:16870","Europe and Central Asia assessment","en","agroecosystem","An ecosystem, dominated by agriculture, containing assets and functions such as biodiversity, ecological succession and food webs. An agroecosystem is not restricted to the immediate site of agricultural activity (e.g. the farm), but rather includes the region that is impacted by this activity, usually by changes to the complexity of species assemblages and energy flows, as well as to the net nutrient balance.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21539:16870","Land degradation and restoration assessment","en","agroecosystem","An ecosystem, dominated by agriculture, containing assets and functions such as biodiversity, ecological succession and food webs. An agroecosystem is not restricted to the immediate site of agricultural activity (e.g. the farm), but rather includes the region that is impacted by this activity, usually by changes to the complexity of species assemblages and energy flows, as well as to the net nutrient balance.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21539:16870","Sustainable use assessment","en","agroecosystem","An ecosystem, dominated by agriculture, containing assets and functions such as biodiversity, ecological succession and food webs. An agroecosystem is not restricted to the immediate site of agricultural activity (e.g. the farm), but rather includes the region that is impacted by this activity, usually by changes to the complexity of species assemblages and energy flows, as well as to the net nutrient balance.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21539:40662","Asia-Pacific assessment","en","agroecosystem","A human activity system that provides specific services and possesses certain characteristics such as defined biodiversity, a determined ecological succession and food webs and nutrient cycles.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21540:16871","Sustainable use assessment","en","agroforestry","Agroforestry is a collective name for land-use systems and technologies where woody perennials (trees, shrubs, palms, bamboos, etc.) are deliberately used on the same land-management units as agricultural crops and animals, in some form of spatial arrangement or temporal sequence.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21540:40664","Land degradation and restoration assessment","en","agroforestry","A collective name for land-use systems and technologies where woody perennials (trees, shrubs, palms, bamboos and so on) are deliberately used on the same land-management units as agricultural crops and/or animals, in some form of spatial arrangement or temporal sequence. Agroforestry can enhance the food supply, income and health of smallholder farmers and other rural people.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21540:40665","Americas assessment","en","agroforestry","A collective name for land-use systems and technologies where woody perennials (trees, shrubs, palms, bamboos, etc.) are deliberately used on the same land- management units as agricultural crops and animals, in some form of spatial arrangement or temporal sequence.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21540:40666","Europe and Central Asia assessment","en","agroforestry","A collective name for land-use systems and technologies where woody perennials (trees, shrubs, palms, bamboos, etc.) are deliberately used on the same land- management units as agricultural crops and/or animals, in some form of spatial arrangement or temporal sequence.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21540:40666","Global assessment (1st work programme)","en","agroforestry","A collective name for land-use systems and technologies where woody perennials (trees, shrubs, palms, bamboos, etc.) are deliberately used on the same land- management units as agricultural crops and/or animals, in some form of spatial arrangement or temporal sequence.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21540:40667","Asia-Pacific assessment","en","agroforestry","Rural and urban agricultural land use systems in which trees or tree-like perennial and forests are deliberately planted or protected along with agricultural crops and/ or animals and associated wild species.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21540:87927","Nexus assessment","en","agroforestry","A collective name for land use systems and technologies where woody perennials (trees, shrubs, palms, bamboos, etc.) are deliberately used on the same land management units as agricultural crops and animals, in some form of spatial arrangement or temporal sequence.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21541:16236","Americas assessment","en","Aichi (biodiversity) targets","The 20 targets set by the Conference of the Parties to the Convention for Biological Diversity (CBD) at its tenth meeting, under the Strategic Plan for Biodiversity 2011-2020.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21541:16236","Asia-Pacific assessment","en","Aichi (biodiversity) targets","The 20 targets set by the Conference of the Parties to the Convention for Biological Diversity (CBD) at its tenth meeting, under the Strategic Plan for Biodiversity 2011-2020.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21541:16236","Europe and Central Asia assessment","en","Aichi (biodiversity) targets","The 20 targets set by the Conference of the Parties to the Convention for Biological Diversity (CBD) at its tenth meeting, under the Strategic Plan for Biodiversity 2011-2020.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21541:16236","Global assessment (1st work programme)","en","Aichi (biodiversity) targets","The 20 targets set by the Conference of the Parties to the Convention for Biological Diversity (CBD) at its tenth meeting, under the Strategic Plan for Biodiversity 2011-2020.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21541:16236","Land degradation and restoration assessment","en","Aichi (biodiversity) targets","The 20 targets set by the Conference of the Parties to the Convention for Biological Diversity (CBD) at its tenth meeting, under the Strategic Plan for Biodiversity 2011-2020.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21541:16236","Scenarios and models assessment","en","Aichi (biodiversity) targets","The 20 targets set by the Conference of the Parties to the Convention for Biological Diversity (CBD) at its tenth meeting, under the Strategic Plan for Biodiversity 2011-2020.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21541:16236","Sustainable use assessment","en","Aichi (biodiversity) targets","The 20 targets set by the Conference of the Parties to the Convention for Biological Diversity (CBD) at its tenth meeting, under the Strategic Plan for Biodiversity 2011-2020.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21542:16237","Americas assessment","en","alien species","See invasive alien species.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21542:16237","Europe and Central Asia assessment","en","alien species","See invasive alien species.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21542:16237","Land degradation and restoration assessment","en","alien species","See invasive alien species.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21542:40670","Pollination assessment","en","alien species","A species, subspecies, or lower taxon occurring outside of its natural range (past or present) and dispersal potential (i.e. outside the range it occupies naturally or could not occupy without direct or indirect introduction or care by humans) and includes any part, gametes or propagule of such species that might survive and subsequently reproduce. Also known as non-native, non-indigenous, foreign, or exotic species.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21542:69549","Invasive alien species assessment","en","alien species","a species whose presence in a region is attributable to human actions, intentional or unintentional, that enable them to overcome biogeographical barriers (Richardson et al., 2010; Figure 1.1). This includes species, subspecies or lower taxon, and any part (gametes, seeds, eggs, or propagules) of such species that might survive and subsequently reproduce",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21543:40679","Asia-Pacific assessment","en","animism","The attribution of a soul to plants, inanimate objects, and natural phenomena.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
